No,State,Abbr,Temp,SunDur,CriRate,Grocery,Transport,Health,Housing,Density,AirQuality
1,Alabama,AL,7,27,39,16,2,10,2,27,42
2,Alaska,AK,50,47,50,49,42,48,42,50,2
3,Arizona,AZ,10,1,35,32,27,23,27,33,36
4,Arkansas,AR,9,10,42,5,7,1,7,35,24
5,California,CA,12,4,34,46,50,49,50,11,38
6,Colorado,CO,39,6,23,17,38,30,38,37,44
7,Connecticut,CT,29,42,12,29,40,43,40,4,34
8,Delaware,DE,16,30,43,37,30,3,30,6,40
9,Florida,FL,1,24,46,32,30,32,30,8,12
10,Georgia,GA,5,16,31,24,4,17,4,17,49
11,Hawaii,HI,2,37,13,50,49,50,49,13,1
12,Idaho,ID,41,11,7,4,18,33,18,44,31
13,Illinois,IL,24,32,30,19,23,37,23,12,26
14,Indiana,IN,25,39,29,9,8,20,8,16,46
15,Iowa,IA,36,20,16,9,13,25,13,36,8
16,Kansas,KS,19,8,28,10,10,9,10,41,23
17,Kentucky,KY,15,35,6,2,15,27,15,22,39
18,Louisiana,LA,3,24,45,21,24,21,24,24,17
19,Maine,ME,48,24,2,28,39,28,39,39,5
20,Maryland,MD,20,20,41,42,47,24,47,5,43
21,Massachusetts,MA,35,29,33,41,45,39,45,3,19
22,Michigan,MI,41,44,38,7,11,36,11,18,22
23,Minnesota,MN,47,32,10,35,20,29,20,31,9
24,Mississippi,MS,6,17,17,11,1,5,1,32,28
25,Missouri,MO,18,14,40,14,3,16,3,28,29
26,Montana,MT,45,42,25,36,32,18,32,49,15
27,Nebraska,NE,31,12,18,13,19,11,19,43,7
28,Nevada,NV,28,3,49,26,33,44,33,42,21
29,New Hampshire,NH,42,37,4,40,34,13,34,21,12
30,New Jersey,NJ,22,33,14,34,44,46,44,1,30
31,New Mexico,NM,21,2,47,1,25,31,25,45,21
32,New York,NY,37,46,32,43,48,41,48,7,17
33,North Carolina,NC,13,18,27,21,16,22,16,15,41
34,North Dakota,ND,49,35,15,38,28,38,28,47,7
35,Ohio,OH,26,43,19,23,6,35,6,10,49
36,Oklahoma,OK,11,5,37,12,5,4,5,35,25
37,Oregon,OR,33,45,11,47,46,41,46,39,4
38,Pennsylvania,PA,31,40,24,33,31,42,31,9,37
39,Rhode Island,RI,27,29,9,48,41,19,41,2,28
40,South Carolina,SC,8,14,44,25,17,9,17,19,32
41,South Dakota,SD,38,21,26,22,37,12,37,47,15
42,Tennessee,TN,14,22,48,6,9,2,9,20,46
43,Texas,TX,4,7,36,3,15,14,15,26,18
44,Utah,UT,32,9,8,27,27,27,27,41,50
45,Vermont,VT,44,50,1,45,43,45,43,31,10
46,Virginia,VA,17,26,5,15,36,7,36,14,34
47,Washington,WA,34,50,20,40,35,47,35,24,3
48,West Virginia,WV,24,48,22,30,22,6,22,29,47
49,Wisconsin,WI,43,38,21,18,21,34,21,24,13
50,Wyoming,WY,46,15,3,44,12,15,12,49,34
